time 	displacement
0.01	0.0
0.02	2.487116757317073e-15
0.03	9.637285617507184e-15
0.04	2.274508384882991e-14
0.05	4.2434332062082e-14
0.060000000000000005	6.872620852405902e-14
0.07	1.0107181037140273e-13
0.08	1.3841293076927419e-13
0.09	1.7928381713616848e-13
0.09999999999999999	2.2195168519531592e-13
0.10999999999999999	2.6459211686721303e-13
0.11999999999999998	3.0547971246937777e-13
0.12999999999999998	3.4317069745176586e-13
0.13999999999999999	3.7666152545087907e-13
0.15	4.055407749845698e-13
0.16	4.299882005927755e-13
0.17	4.5070385332162795e-13
0.18000000000000002	4.687934576630999e-13
0.19000000000000003	4.85616396900798e-13
0.20000000000000004	5.026168769456117e-13
0.21000000000000005	5.211565272781948e-13
0.22000000000000006	5.423683215851386e-13
0.23000000000000007	5.670474292042437e-13
0.24000000000000007	5.955854638793976e-13
0.25000000000000006	6.279503901890024e-13
0.26000000000000006	6.637097692843009e-13
0.2700000000000001	7.020955995109156e-13
0.2800000000000001	7.420419977036362e-13
0.2900000000000001	7.821388879281777e-13
0.3000000000000001	8.209122829597414e-13
0.3100000000000001	8.570784848508999e-13
0.3200000000000001	8.897072899943302e-13
0.3300000000000001	9.183230194305475e-13
0.34000000000000014	9.429460596855762e-13
0.35000000000000014	9.640730540362697e-13
0.36000000000000015	9.82600469628588e-13
0.37000000000000016	9.997011432194106e-13
0.38000000000000017	1.0166711168150749e-12
0.3900000000000002	1.0347692746764444e-12
0.4000000000000002	1.0550675306970692e-12
0.4100000000000002	1.0783300430538101e-12
0.4200000000000002	1.1050129380908956e-12
0.4300000000000002	1.1353293033011986e-12
0.4400000000000002	1.1691414131171414e-12
0.45000000000000023	1.2059297527879851e-12
0.46000000000000024	1.2448566784388831e-12
0.47000000000000025	1.2848766202295003e-12
0.48000000000000026	1.3248694976393811e-12
0.49000000000000027	1.3637778832772564e-12
0.5000000000000002	1.4007334530053855e-12
0.5100000000000002	1.4351574099781208e-12
0.5200000000000002	1.466822200522968e-12
0.5300000000000002	1.4958700776509638e-12
0.5400000000000003	1.5227847572342937e-12
0.5500000000000003	1.5483215159732313e-12
0.5600000000000003	1.5735559990910985e-12
0.5700000000000003	1.5998394151101703e-12
0.5800000000000003	1.6284926677139488e-12
0.5900000000000003	1.6605726687819064e-12
0.6000000000000003	1.696741647565904e-12
0.6100000000000003	1.7372033507602032e-12
0.6200000000000003	1.7816981237418905e-12
0.6300000000000003	1.8295498560594287e-12
0.6400000000000003	1.879759038995186e-12
0.6500000000000004	1.9311297462811962e-12
0.6600000000000004	1.9824140679215164e-12
0.6700000000000004	2.0324576850828315e-12
0.6800000000000004	2.080330587073432e-12
0.6900000000000004	2.1254275928770375e-12
0.7000000000000004	2.167348089656712e-12
0.7100000000000004	2.2058981289858936e-12
0.7200000000000004	2.241233819464582e-12
0.7300000000000004	2.2738945082196835e-12
0.7400000000000004	2.3047363644569987e-12
0.7500000000000004	2.334818712257439e-12
0.7600000000000005	2.3652698334353625e-12
0.7700000000000005	2.3971498647888197e-12
0.7800000000000005	2.4313292247568605e-12
0.7900000000000005	2.4683949267028476e-12
0.8000000000000005	2.5085950173036365e-12
0.8100000000000005	2.551825370547229e-12
0.8200000000000005	2.5976584034913746e-12
0.8300000000000005	2.64540897541685e-12
0.8400000000000005	2.6941169682710417e-12
0.8500000000000005	2.7426832689737316e-12
0.8600000000000005	2.790072762940055e-12
0.8700000000000006	2.835463977087985e-12
0.8800000000000006	2.8783435854895033e-12
0.8900000000000006	2.9185538335732703e-12
0.9000000000000006	2.9562940803168262e-12
0.9100000000000006	2.992079093403038e-12
0.9200000000000006	3.0266610189617356e-12
0.9300000000000006	3.0609259462271404e-12
0.9400000000000006	3.0957802704545247e-12
0.9500000000000006	3.1320399907826392e-12
0.9600000000000006	3.170336804153099e-12
0.9700000000000006	3.211051616282782e-12
0.9800000000000006	3.25466040544787e-12
0.9900000000000007	3.3015680955633685e-12
1.0000000000000007	3.3518806181941514e-12
1.0100000000000007	3.405346104364002e-12
1.0200000000000007	3.4613954477971586e-12
1.0300000000000007	3.5192303148636257e-12
1.0400000000000007	3.5779326656169355e-12
1.0500000000000007	3.6365824654056056e-12
1.0600000000000007	3.694368411983245e-12
1.0700000000000007	3.75067941543878e-12
1.0800000000000007	3.805166862850497e-12
1.0900000000000007	3.8577718887127166e-12
1.1000000000000008	3.908716428649711e-12
1.1100000000000008	3.958461162150069e-12
1.1200000000000008	4.007476025436069e-12
1.1300000000000008	4.056248753951434e-12
1.1400000000000008	4.1052917714265325e-12
1.1500000000000008	4.155096751075931e-12
1.1600000000000008	4.206079199028096e-12
1.1700000000000008	4.258532928356846e-12
1.1800000000000008	4.312601350947871e-12
1.1900000000000008	4.368268289599028e-12
1.2000000000000008	4.425368362734944e-12
1.2100000000000009	4.483614450748752e-12
1.2200000000000009	4.54263815809115e-12
1.2300000000000009	4.602039114012492e-12
1.2400000000000009	4.661435045039248e-12
1.2500000000000009	4.720466487683991e-12
1.260000000000001	4.77842356080152e-12
1.270000000000001	4.834570803101854e-12
1.280000000000001	4.888417441172774e-12
1.290000000000001	4.939804314511154e-12
1.300000000000001	4.988909065829416e-12
1.310000000000001	5.036205979762873e-12
1.320000000000001	5.082392399500898e-12
1.330000000000001	5.128292644098672e-12
1.340000000000001	5.174752290958034e-12
1.350000000000001	5.2225329528666e-12
1.360000000000001	5.2722237890032195e-12
1.370000000000001	5.32417868799692e-12
1.380000000000001	5.37848471341419e-12
1.390000000000001	5.434951170801816e-12
1.400000000000001	5.493100238439827e-12
